OBJECTID,description,tags,lat_wgs,lon_wgs,pov_exp,heading,orgid,nid,captions,scene,label
1,惠济路,GENERAL,30.613684785400000,114.286622481999999,2.000000000000000,233.000000000000000,10141050150701164920832.000000000000000,10141050150701164219100_right_317.jpg,two people riding bicycles down a city street;two people riding a bike down the street;two people riding a bike down a street;two people riding a bike on the street;two people riding a bike on the sidewalk,a white car driving down a city street ; a group of people riding motorcycles down a street ; a white car driving down a street next to trees ; a group of people riding bicycles down a street ; a large white building sitting next to a forest ; two people riding bicycles on a city street ; a large white building sitting on top of a sidewalk ; two people riding bicycles down a city street,2
2,姑嫂树路,GENERAL,30.634927647600001,114.254844976000001,2.000000000000000,276.000000000000000,10141050150713112395776.000000000000000,10141050150713113125200_right_35.jpg,a person sitting on a bench in front of a building;a person sitting on a bench on a city street;a person sitting on a bench near a building;a person sitting on a bench in a city;a person sitting on a bench in the middle of the city,a bus driving down a street next to tall buildings ; a street with a few cars driving down it ; a couple of cars parked in front of a building ; a person sitting on a bench in front of a building,4
3,,GENERAL,30.554001082900001,114.335587841999995,2.000000000000000,20.000000000000000,10141003150416152625152.000000000000000,10141003150416152242400_right_298.jpg,a view of a building through a window;a view of a building through a glass window;a view of a building from behind glass;a view of a building from a window;a view of a building from the side of a building,a car parked on the side of the street ; a city street filled with lots of traffic ; a group of cars parked in front of a building ; a view of a building through a window,6
4,鹦鹉大道,GENERAL,30.531622079700000,114.256642322999994,2.000000000000000,282.000000000000000,10141003150426101514240.000000000000000,10141003150426101454700_right_100.jpg,a man in an orange suit standing on a sidewalk;a person in an orange vest standing on a sidewalk;a man in an orange vest stands on a sidewalk;a man in an orange jacket standing in the middle of a sidewalk;a man in an orange jacket standing in the middle of a street,a street with cars driving down the road ; a group of people crossing a city street ; cars driving down a busy city street near tall buildings ; a man in an orange suit standing on a sidewalk,10
5,姚家岭街,GENERAL,30.552679122099999,114.329130812000002,2.000000000000000,292.000000000000000,10141006121208121393152.000000000000000,10141006121208121018900_right_345.jpg,a couple of people that are sitting in the street;two people sitting on a sidewalk in a city;a couple of people that are sitting on a sidewalk;two people sitting on a sidewalk in the middle of the city;a couple of people that are sitting on a bench,an empty street with buildings in the background ; a city street with cars driving down the road ; a city street with parked cars and buildings ; a couple of people that are sitting in the street,0
6,,GENERAL,30.545901028000003,114.336177094000007,2.000000000000000,17.000000000000000,10141006121208142364672.000000000000000,10141006121208142915600_right_288.jpg,a large brick building with a tower in the center;a large brick wall with a tall building next to it;a large brick wall with a tall building in the background;a large brick building with a tower built into it;a large brick wall with a UNK in the center,a car parked on the side of the road ; a couple of people walking down a sidewalk ; graffiti on the side of a building ; a large brick building with a tower in the center,6
7,鹦鹉大道,GENERAL,30.535614146499999,114.260328955999995,2.000000000000000,230.000000000000000,10141050150606151352320.000000000000000,10141050150606150417800_right_355.jpg,a view of a street from the side of the street;a view of a street from the side of a building;a view of a city street with a building behind it;a view of a street from the side of the road;a view of a street from the side of a road,a group of people walking down a city street ; a blue car parked on the side of the road ; a semi truck parked in front of a building ; a view of a street from the side of the street,-1
8,,GENERAL,30.533214530900000,114.196324810999997,2.000000000000000,11.000000000000000,10141003150524109815808.000000000000000,10141003150524110758800_right_34.jpg,a palm tree in front of a building;a tree in front of a city skyline;a palm tree in front of a city skyline;a palm tree in front of a large city skyline;a palm tree in front of a large building,a long road with a street sign and trees ; an empty street with no cars on it ; an empty street with no cars on it ; an empty street with buildings in the background ; a large sign on the side of the street ; a park with a large city in the background ; a large building on the side of the street ; a palm tree in front of a building,0
9,正义路,GENERAL,30.633949284700002,114.285840176999997,2.000000000000000,350.000000000000000,10141050150531144613888.000000000000000,10141050150531144530000_right_160.jpg,a building with a tree in front of it;a building with a tree and a sign on the sidewalk;a picture of a building in the middle of the day;a picture of a building in the middle of a city;a picture of a building in the middle of a park,a city street with parked cars and motorcycles ; a car driving down a street next to tall buildings ; a city street with buildings and cars on it ; a building with a tree in front of it,9
10,建设大道,GENERAL,30.586991177600002,114.247596900999994,2.000000000000000,33.000000000000000,10141103150611164037120.000000000000000,10141103150611163408900_right_121.jpg,a silver car parked on the side of the road;a silver car parked on the side of a road;a silver car parked on the side of a street;a silver car parked in front of a building;a silver car parked in front of a tall building,a group of people walking across a street ; a yellow truck driving down a city street ; a yellow school bus driving down a busy street ; a silver car parked on the side of the road,4
11,沿江大道,GENERAL,30.594010590800000,114.299617323999996,2.000000000000000,230.000000000000000,10141050150606094729216.000000000000000,10141050150606095655500_right_302.jpg,a white building a tree and some trees;a large white building with a white building;a large white building with a white roof;a large white building with a large white ball;a large white building with a large white ball in front of it,a blue and white truck driving down a street ; a street filled with traffic next to tall buildings ; a white car parked on the side of the road ; a white building a tree and some trees,7
12,,GENERAL,30.535435947600003,114.197371500000003,2.000000000000000,281.000000000000000,10141003150426145554432.000000000000000,10141003150426145042900_right_3.jpg,a sign on the side of a city street;a sign on the side of the street;a sign on the side of a building;a sign on the side of the road;a sign on the side of a building advertising UNK,a city street is shown with buildings in the background ; a view of a city from the street ; a small car parked on the side of the road ; a sign on the side of a city street,6
13,汉钢路,GENERAL,30.559416663600000,114.232616997999997,2.000000000000000,300.000000000000000,10141019121212113027072.000000000000000,10141019121212113219300_right_299.jpg,a group of cars parked on the side of the road;a group of cars parked on the side of a street;a street with cars parked on the side of the road;a group of cars parked on the side of a road;a street scene with cars parked on the side of the road,a bus driving down a street next to tall buildings ; a couple of people walking down a sidewalk ; a row of clothing in front of a building ; a group of cars parked on the side of the road,4
14,沙湖大道,GENERAL,30.552593849600001,114.328303382000001,2.000000000000000,235.000000000000000,10141003150416104390656.000000000000000,10141003150416104343100_right_332.jpg,a sign that is on the side of the road;a sign that is on the side of the street;a sign that is on the side of a road;a sign that is on the side of a street;a sign that is on the side of a building,a blue truck driving down a city street ; a couple of blue street signs sitting on the side of a road ; a city street filled with traffic next to tall buildings ; a sign that is on the side of the road,7
15,四新南路,GENERAL,30.510243658200000,114.219999567000002,2.000000000000000,129.000000000000000,10141050150312124350464.000000000000000,10141050150312124827800_right_209.jpg,a sign that is on the side of a building;a sign that is on the concrete ground;a sign that is on the side of the street;a sign that is on the side of the road;a sign that is on the side of the building,a view of a city skyline from across the street ; a large long train on a steel track ; a large sign on the side of the road ; a sign that is on the side of a building,5
16,鹦鹉大道,GENERAL,30.532585523900000,114.257567049000002,2.000000000000000,249.000000000000000,10141003150426101514240.000000000000000,10141003150426101510300_right_146.jpg,a city street filled with lots of tall buildings;a city street filled with lots of buildings;a city street filled with lots of traffic;a city street filled with lots of different colored buildings;a city street filled with lots of buildings next to tall buildings,a white car driving down a city street ; a view of a street from a car window ; a group of cars driving down a city street ; a city street filled with lots of tall buildings,8
17,,GENERAL,30.535580991000000,114.196420064999998,2.000000000000000,99.000000000000000,10141003150426145554432.000000000000000,10141003150426145053900_right_33.jpg,an empty street with a building in the background;an empty street in front of a large building;an empty street in front of a tall building;a city street with a building in the background;an empty street in front of a building,an empty street with a car parked on the side ; a street with cars parked on the sidewalk ; a blue car parked in front of a building ; an empty street with a building in the background,0
18,临江巷,GENERAL,30.578330268500000,114.291575146000000,2.000000000000000,272.000000000000000,10141050150719099764736.000000000000000,10141050150719100051900_right_281.jpg,a group of buildings that are next to each other;a group of buildings that have umbrellas on them;a group of buildings that have umbrellas in them;a group of buildings that are next to a street;a group of buildings that have umbrellas hanging from them,a white car parked on the side of the road ; a city street with a large poster on the wall ; a person walking down a city street ; a group of buildings that are next to each other,6
19,民主路,GENERAL,30.546508951800000,114.319652376999997,2.000000000000000,120.000000000000000,10141003150325094285312.000000000000000,10141003150325094806700_right_167.jpg,a white fence sitting next to a tall building;a metal fence sitting next to tall buildings;a white fence sitting next to a parking lot;a metal fence sitting next to a parking lot;a white fence sitting next to a street,a group of cars driving down a street ; a city street filled with lots of traffic ; a truck parked on the side of the street ; a white fence sitting next to a tall building,8
20,香港路,GENERAL,30.601371315800002,114.284395352999994,2.000000000000000,316.000000000000000,10141019130224124624896.000000000000000,10141019130224125650400_right_252.jpg,a group of people walking down a street next to tall buildings;a group of people walking down a street;a group of people walking down a city street;a group of people walking on a city street;a group of people walking down a sidewalk,a city street with cars and buildings in the background ; a city street with a bus stop sign ; a black car parked on the side of the road ; a group of people walking down a street next to tall buildings,6
21,台北路,GENERAL,30.598351085300003,114.276290027000002,2.000000000000000,270.000000000000000,10141050150624111362048.000000000000000,10141050150624112120300_right_226.jpg,a green bus parked in front of a tall building;a green bus parked in front of a building;a green bus parked on the side of the road;a green bus parked on the side of the street;a green bus parked on the side of a road,a red car driving down a street next to tall buildings ; a group of cars driving down a city street ; a person walking down a street with a backpack ; a green bus parked in front of a tall building,4
22,沿河大道,GENERAL,30.585148535700000,114.208204554000005,2.000000000000000,59.000000000000000,10141050150606103117824.000000000000000,10141050150606102459200_right_230.jpg,a white van parked next to a white trailer;a white truck parked next to a white truck;a truck parked next to a white truck;a white truck parked next to a white trailer;a white van parked next to a white truck,a city street filled with lots of traffic ; a road that has cars parked on the side of it ; an empty sidewalk in front of a large home ; a white van parked next to a white trailer,0
23,解放大道,GENERAL,30.614021009199998,114.303311429000004,2.000000000000000,17.000000000000000,10141050150628112728064.000000000000000,10141050150628113603600_right_131.jpg,a bus parked on the side of the road;a bus parked on the side of the street;a bus driving down a street past a tall building;a bus parked on the side of a street;a bus parked on the side of the road in front of a building,a bus parked in front of a bus stop ; a group of cars driving down a street ; a book shelf filled with lots of books ; a bus parked on the side of the road,4
24,荆南街,GENERAL,30.547586223400003,114.304737313999993,2.000000000000000,258.000000000000000,10141006121203123879936.000000000000000,10141006121203124100700_right_22.jpg,a car parked in front of a building;a white car parked in front of a building;a white car parked next to a building;a car is parked in front of a building;a white car is parked in front of a building,a city street with people walking down it ; a narrow city street with buildings and parked cars ; a view of a building with graffiti on it ; a car parked in front of a building,6
25,洪山侧路,GENERAL,30.541991396099998,114.347546389000001,2.000000000000000,302.000000000000000,10141003150505101230080.000000000000000,10141003150505101356700_right_175.jpg,a white truck driving down a city street;a white truck driving down a street next to tall buildings;a white car driving down a city street;a white truck parked on the side of a city street;a white truck parked on the side of a street,a street filled with traffic surrounded by tall buildings ; a yellow car driving down a city street ; a man walking down a sidewalk in front of a tall building ; a white truck driving down a city street,10
26,五福路,GENERAL,30.601767953800000,114.302636225000001,2.000000000000000,295.000000000000000,10141003150612100022272.000000000000000,10141003150612100702600_right_246.jpg,a group of cars parked in front of a building;a group of cars parked on a city street;a couple of cars parked in front of a building;a couple of cars parked in front of a tall building;a group of cars parked in front of a tall building,a car parked on the side of the road ; a group of cars parked on a city street ; a red car parked on the side of the street ; a group of cars parked in front of a building,6
27,上海路,GENERAL,30.581842694900001,114.290796822999994,2.000000000000000,293.000000000000000,10141035140613102632960.000000000000000,10141035140613102328900_right_34.jpg,a window of a building with a window;a window of a building with a green pole;a view of a building from the side of it;a window of a building that has a green pole;a view of a building from the side of the street,a group of people riding motorcycles down a street ; a city street filled with traffic and tall buildings ; a couple of people walking down a sidewalk ; a window of a building with a window,2
28,洲头二路,GENERAL,30.526529789200001,114.249384749000001,2.000000000000000,283.000000000000000,10141058150729131229184.000000000000000,10141058150729131653100_right_44.jpg,a couple of cars parked in front of a fence;a car parked in front of a fence;two cars parked in front of a fence;a silver car parked in front of a fence;a couple of cars parked in front of a building,a city street filled with lots of traffic ; a group of cars parked on the side of the street ; a store front window with a box of food in front of it ; a couple of cars parked in front of a fence,6
29,,GENERAL,30.602657096200002,114.210362806999996,2.000000000000000,264.000000000000000,10141057150702130823168.000000000000000,10141057150702130659600_right_83.jpg,a street corner with a large building in the background;a street corner with a building and street signs;a street corner with a building and a street sign;a street corner with a building and street signs on it;a street corner with a building and a sign that reads UNK,a car driving down a street next to a building ; a city street filled with traffic surrounded by tall buildings ; a white truck parked in front of a building ; a street corner with a large building in the background,8
30,汉阳大道,GENERAL,30.557521402900001,114.232648009000002,2.000000000000000,288.000000000000000,10141003150521142345728.000000000000000,10141003150521142340800_right_212.jpg,a couple of people walking down a street;a man walking down a street past a tall building;a man walking down a street past tall buildings;a man walking down a street past a tall white building;a couple of people walking down a street next to tall buildings,a car driving down a street next to tall buildings ; a city street with buildings in the background ; a white fence that is next to a building ; a couple of people walking down a street,8
31,京汉大道,GENERAL,30.576134328500000,114.255328929000001,2.000000000000000,53.000000000000000,10141003150612104216576.000000000000000,10141003150612105214900_right_102.jpg,a group of cars parked on a city street;a group of cars parked on the side of the street;a group of cars parked on the side of a road;a group of cars parked on the side of the road;a group of cars parked on the side of a street,a city street filled with traffic and tall buildings ; a view of the side walk of a city street ; a person on a motorcycle on a city street ; a group of cars parked on a city street,2
32,珞狮北路,GENERAL,30.536106649499999,114.350698331999993,2.000000000000000,196.000000000000000,10141035140720103522304.000000000000000,10141035140720102501800_right_178.jpg,a group of vehicles that are sitting in the street;a group of vehicles driving down a city street;a group of vehicles driving on a city street;a group of vehicles driving down a street;a group of cars driving down a street next to buildings,a view of a city from across the street ; a group of people walking across a parking lot ; two people riding motorcycles on a city street ; a group of vehicles that are sitting in the street,2
33,黄孝河路,GENERAL,30.616174926300001,114.280558326000005,2.000000000000000,195.000000000000000,10141003150322141495296.000000000000000,10141003150322140732900_right_185.jpg,a group of people walking down a city street;a group of people walking down a street;a group of people riding motorcycles down a street;a group of people riding motorcycles down a city street;a group of people riding motorcycles on a city street,a group of cars parked in front of a building ; a person on a motor bike on a city street ; a group of cars driving down a street ; a group of people walking down a city street,2
34,红旗渠路,GENERAL,30.625447086600001,114.243705148999993,2.000000000000000,72.000000000000000,10141050150624159596544.000000000000000,10141050150624160022400_right_356.jpg,a couple of cars parked on the side of a street;a couple of cars parked on the side of the road;a couple of cars parked on the side of the street;a car parked on the side of the street;a couple of cars parked on the side of a road,a car parked on the side of the road ; a car parked on the side of the road ; a white car parked in front of a house ; a couple of cars parked on the side of a street,6
35,中北路,GENERAL,30.556754526799999,114.336326650999993,2.000000000000000,22.000000000000000,10141019140103130316800.000000000000000,10141019140103130106100_right_329.jpg,a man walking down a street next to tall buildings;a man walking down a street next to a tall building;a man walking down a sidewalk next to a tall building;a man walking down a sidewalk in front of tall buildings;a man walking down a sidewalk in front of a building,a white car driving down a street next to tall buildings ; a giant sculpture sitting on the side of a road ; a city street with buildings and people walking ; a man walking down a street next to tall buildings,10
36,中南二路,GENERAL,30.545552709100001,114.319695418999999,2.000000000000000,275.000000000000000,10141035140720151756800.000000000000000,10141035140720152502000_right_238.jpg,a red car driving down a city street;a red car driving down a street next to tall buildings;a red car driving on a city street;a red car driving down a street past tall buildings;a red car driving down a street in a city,a view of a city street from across the street ; two people riding bicycles on a city street ; a city street filled with traffic surrounded by tall buildings ; a red car driving down a city street,2
37,张之洞路,GENERAL,30.536124088099999,114.302188270000002,2.000000000000000,128.000000000000000,10141003150312150663168.000000000000000,10141003150312150753900_right_240.jpg,a city street with people and cars on it;a city street with cars and people walking;a man walking down a street next to tall buildings;a city street with cars and people crossing the street;a city street with cars and people crossing the road,a city street filled with lots of traffic ; a car parked in front of a bus stop ; a city street filled with traffic next to tall buildings ; a city street with people and cars on it,3
38,渣家路,GENERAL,30.589665812500002,114.278518769000001,2.000000000000000,221.000000000000000,10141050150705124343808.000000000000000,10141050150705124116300_right_105.jpg,a store front with asian writing on the front;a store front with asian writing on the wall;a store front with asian writing on the front of it;a store front with a bunch of signs on it;a store front with a bunch of signs on the front of it,a busy street with many people walking around ; a group of people walking down a street ; a white car parked next to a bridge ; a store front with asian writing on the front,6
39,彭刘杨路,GENERAL,30.542810440299998,114.291562956000007,2.000000000000000,255.000000000000000,10141306130122160472064.000000000000000,10141306130122161019900_right_80.jpg,a couple of people walking down a street;a couple of people walking down a sidewalk;a group of people walking down a sidewalk;a group of people walking down a street past a store;a couple of people walking down a street past a store,a group of people walking down a city street ; a group of people riding motorcycles down a street ; a man standing in front of a white car ; a couple of people walking down a street,2
40,荆南街,GENERAL,30.547511636999999,114.305099525000003,2.000000000000000,136.000000000000000,10141006121203123879936.000000000000000,10141006121203124108500_right_29.jpg,a group of cars parked outside of a building;a group of cars parked in front of a building;a group of cars parked in front of a tall building;several cars parked on a city street near buildings;cars parked on the side of the street in front of a building,a car parked on the side of the street ; a car driving down a street past tall buildings ; a building with a large window on the side of it ; a group of cars parked outside of a building,9
41,四新北路,GENERAL,30.522277326499999,114.225386047000001,2.000000000000000,227.000000000000000,10141003150426149748736.000000000000000,10141003150426150243700_right_226.jpg,a tree in the middle of a park;a tree in the middle of a parking lot;a parking lot with a tree and a building in the background;a parking lot with a few trees and a building;a parking lot with a few trees and a building in the background,a couple of cars that are sitting in the street ; a couple of vehicles driving down a city street ; a car parked on the side of the road ; a tree in the middle of a park,-1
42,常青五路,GENERAL,30.628662026499999,114.238320702999999,2.000000000000000,254.000000000000000,10141050150624163790848.000000000000000,10141050150624164055800_right_345.jpg,a white car parked on the side of a street;a white car parked on the side of the road;a white car parked on the side of a road;a white car parked on the side of the street;a white car is parked on the side of the street,a street scene with cars and a motorcycle ; some cars are driving down a city street ; two people riding a motorcycle on a city street ; a white car parked on the side of a street,2
43,中南二路,GENERAL,30.544536343800001,114.322774748000000,2.000000000000000,279.000000000000000,10141035140720153853952.000000000000000,10141035140720153105000_right_19.jpg,a man standing in front of a building;a man standing in front of a large building;a person walking down a street past a building;a person walking down a street near a building;a man walking down a street past a building,a street with cars and buildings in the background ; a highway filled with traffic next to tall buildings ; a group of cars parked in front of a building ; a man standing in front of a building,-1
