OBJECTID,description,tags,lat_wgs,lon_wgs,pov_exp,heading,orgid,nid,captions,scene,label
1,高雄路,GENERAL,30.602213141499998,114.280990806000005,2.000000000000000,345.000000000000000,10141050150701110394880.000000000000000,10141050150701110214000_right_136.jpg,a car parked on the side of the street;a car parked on the side of the road;a car parked on the side of a road;a car parked on the side of a city street;a car parked on the side of the road in the city,a white van parked in front of a building ; a blue car driving down a city street ; a view of a building from the street ; a car parked on the side of the street,8
2,,GENERAL,30.519417667399999,114.201244513999995,2.000000000000000,30.000000000000000,10141003150524105621504.000000000000000,10141003150524105323600_right_285.jpg,a sign that is on the ground near a tree;a sign that is on the side of a tree;a sign that is on the side of the road;a sign that is on the side of the street;a sign that is on the ground next to a tree,a white bus driving down a street next to a tree ; a road with a car driving down the road ; a parking lot with a large building in the background ; a sign that is on the ground near a tree,4
3,建国路,GENERAL,30.573451073899999,114.246705027000004,2.000000000000000,353.000000000000000,10141022121203110772736.000000000000000,10141022121203111322500_right_266.jpg,a window with curtains in a room;there is a bed with a canopy over it;a window with curtains over it in a room;a window with curtains over it in a building;a window with curtains in a room with some curtains,a group of people walking under a canopy ; a narrow alley with a row of buildings ; a couple of people walking down a narrow street ; a group of people walking down a sidewalk ; a canopy bed with a canopy over it ; a red door next to a red door ; there is a red door and a red door ; a window with curtains in a room,-1
4,,GENERAL,30.531543734800000,114.236762432000006,2.000000000000000,282.000000000000000,10141003150524153856000.000000000000000,10141003150524154157100_right_287.jpg,a couple of people that are walking around;two people walking on a sidewalk near a fence;a couple of people that are walking on a sidewalk;a couple of people that are walking in a park;a man walking down a sidewalk next to a tree,a street with cars parked on the side of it ; a view of a city street from the sidewalk ; a frisbee on the ground in front of a building ; a couple of people that are walking around,6
5,,GENERAL,30.567087387600001,114.344390110999996,2.000000000000000,313.000000000000000,10141003150428163014656.000000000000000,10141003150428163309800_right_16.jpg,a palm tree in front of a white building;a palm tree next to a white building;a palm tree in front of a white house;a palm tree next to a white house;a palm tree in front of a home,a city street with a large building in the background ; a city street with tall buildings on each side ; a large building with a red white and blue fire hydrant ; a palm tree in front of a white building,6
6,青岛路,GENERAL,30.584029394600002,114.292908401000005,2.000000000000000,272.000000000000000,10141035140613102632960.000000000000000,10141035140613101805100_right_47.jpg,a car parked in front of a building;a white car parked in front of a building;a car parked in front of a store front;a car parked in front of a building next to a pole;a car parked in front of a building next to a street,a city street filled with traffic surrounded by tall buildings ; a group of cars driving down a city street ; a white car parked in front of a building ; a car parked in front of a building,8
7,,GENERAL,30.618368394699999,114.200692336000003,2.000000000000000,288.000000000000000,10141057150705142333440.000000000000000,10141057150705142515300_right_285.jpg,a white car parked in front of a tall building;a white car parked in front of a red brick building;a van parked in front of a building;a white car parked next to a tall building;a white car parked on the side of a street,a white van parked on the side of a street ; a row of parked cars on a city street ; a white car parked in front of a building ; a white car parked in front of a tall building,6
8,中山路,GENERAL,30.557717268699999,114.295017657000002,2.000000000000000,270.000000000000000,10141003150325100576768.000000000000000,10141003150325101009100_right_242.jpg,a green bus parked in front of a building;a green bus driving down a city street;a green bus parked on the side of the road;a green bus parked on the side of the street;a green bus parked on the side of a street,a bus driving down a street next to tall buildings ; a green bus driving down a city street ; a bus driving down a street next to tall buildings ; a green bus parked in front of a building,4
9,麒麟路,GENERAL,30.559394433900000,114.221954939000000,2.000000000000000,353.000000000000000,10141050150510122762240.000000000000000,10141050150510122438300_right_292.jpg,a car driving down a street past a bus;a car is parked on the side of the street;a car parked on the side of the road;a car driving down a city street next to a bus;a car is parked on the side of the road,a public transit bus on a city street ; cars parked on the side of the street ; a group of people walking down a sidewalk ; a car driving down a street past a bus,4
10,惠济路,GENERAL,30.613684785400000,114.286622481999999,2.000000000000000,233.000000000000000,10141050150701164920832.000000000000000,10141050150701164219100_right_317.jpg,two people riding bicycles down a city street;two people riding a bike down the street;two people riding a bike down a street;two people riding a bike on the street;two people riding a bike on the sidewalk,a white car driving down a city street ; a group of people riding motorcycles down a street ; a white car driving down a street next to trees ; a group of people riding bicycles down a street ; a large white building sitting next to a forest ; two people riding bicycles on a city street ; a large white building sitting on top of a sidewalk ; two people riding bicycles down a city street,2
11,满春路,GENERAL,30.574805803299999,114.276137652000003,2.000000000000000,225.000000000000000,10141050150712095277056.000000000000000,10141050150712094631200_right_244.jpg,a building that has a sign that says UNK;a building that has a sign that says no dogs;a store front with a sign that says UNK UNK;a store front with a sign that reads UNK UNK;a store front with a sign that says UNK UNK UNK,a group of cars parked on the side of a street ; a city street filled with traffic next to tall buildings ; several cars parked in front of a store ; a building that has a sign that says UNK,6
12,姑嫂树路,GENERAL,30.625923714700001,114.262878959000005,2.000000000000000,298.000000000000000,10141050150713112395776.000000000000000,10141050150713112527500_right_47.jpg,a concrete wall with a fence on it;a concrete wall with a fence on the side;a concrete wall with a fence on the side of it;a concrete wall with a metal fence and a green grass field;a concrete wall with a fence on the side and grass on the ground,two people riding motorcycles on a city street ; a person on a motor bike on a road ; a parking lot with various buildings around it ; a concrete wall with a fence on it,2
13,,GENERAL,30.531046989899998,114.177423903999994,2.000000000000000,223.000000000000000,10141019121211112685568.000000000000000,10141019121211113128300_right_299.jpg,a white truck parked next to a fence;a white truck parked in front of a fence;a truck parked on the side of the road;a truck parked in front of a fence;a truck parked on the side of a road,a couple of trucks driving down a road ; a couple of trucks parked on the side of a road ; a sign that says do not enter UNK ; a white truck parked next to a fence,0
14,,GENERAL,30.580957762099999,114.250664547000000,2.000000000000000,339.000000000000000,10141050150801119379456.000000000000000,10141050150801120017600_right_58.jpg,a view of a store front with a window;a view of a store front with a large window;a store front window with a red light in front of it;a store front window with a red light in the window;a view of a store front with a red light in the window,a bus driving down a street next to tall buildings ; a building with a sign on the outside of it ; a couple of cars parked in front of a building ; a city street with tall buildings and bicycles ; a bus driving down a street next to tall buildings ; a view of a subway train platform through a window ; a row of bicycles in front of a building ; a view of a store front with a window,4
15,雪松路,GENERAL,30.594307882300001,114.260217462000000,2.000000000000000,333.000000000000000,10141050150701095714816.000000000000000,10141050150701095028400_right_155.jpg,a white bus parked on the side of a street;a white bus parked on the side of the road;a white bus parked on the side of a road;a small white bus parked on the side of the road;a small white bus parked on the side of the street,a motorcycle parked on the side of a street ; a group of people walking down a sidewalk ; a person walking on a city street near buildings ; a white bus parked on the side of a street,2
